Intention 问题模糊、歧义或者背景信息不足 error records:
('0    你能给我一个利润的表格吗？', '1', '3')
('0    哪个城市的利润高？', '1', '3')
('0    昨天的利润是多少？', '', '3')
('0    可以查询吗？', '1', '3')
('0    有没有利润数据？', '', '3')
('0    哪个城市的利润低？', '', '3')
('0    为什么利润高？', '', '3')
('0    请提供城市的利润数据。', '1', '3')
('0    昨天的利润是多少？', '', '3')
('0    查询某个城市的利润？', '1', '3')
('0    利润高的城市？', '1', '3')
('0    哪个城市的利润最高？', '1', '3')
('0    利润的表格？', '1', '3')
('0    提供利润数据？', '1', '3')
('0    哪个城市利润高？', '1', '3')
('0    数据查询？', '1', '3')
('0    利润数据？', '', '3')
('0    哪个城市的利润低？', '', '3')
('0    请问利润？', '', '3')
('0    利润数据？', '', '3')
('0    查询利润？', '', '3')
('0    利润高低？', '', '3')
('0    城市的利润数据？', '', '3')
('0    城市利润数据？', '', '3')
('0    哪个城市利润最高？', '1', '3')
('0    昨天的利润？', '1', '3')
('0    数据利润？', '', '3')
('0    城市利润？', '', '3')
('0    利润？', '', '3')
('0    查询？', '', '3')
('0    利润数据查询？', '1', '3')
('0    提供利润？', '', '3')
('0    昨天的利润数据？', '1', '3')
('0    城市的利润数据？', '', '3')
('0    哪个城市利润低？', '', '3')
('0    为什么利润高？', '', '3')
('0    利润表格？', '', '3')
('0    数据表？', '1', '3')
('0    提供利润数据？', '1', '3')
('0    利润的城市？', '1', '3')
('0    哪个城市的利润最高？', '1', '3')
('0    利润的表？', '1', '3')
('0    数据的利润？', '', '3')
('0    城市利润数据？', '', '3')
('0    查询数据？', '', '3')
('0    利润的城市？', '1', '3')
('0    哪个城市利润高？', '1', '3')
('0    数据查询？', '1', '3')
('0    昨天的利润？', '1', '3')
('0    数据利润？', '', '3')
('0    城市的利润？', '', '3')
('0    利润？', '', '3')
('0    查询？', '', '3')
('0    利润数据查询？', '1', '3')
('0    提供利润？', '', '3')
('0    昨天的利润数据？', '1', '3')
('0    城市利润数据？', '', '3')
('0    利润数据？', '', '3')
('0    城市的利润？', '', '3')
('0    利润高的城市？', '1', '3')
